user,session_info
62,2022-07-05 18:16:19 (item: 14126) -> 2022-07-05 18:16:36 (item: 13948.0)
167,2022-08-11 00:02:11 (item: 15312) -> 2022-08-11 00:02:33 (item: 16981.0)
219,2022-07-30 13:12:58 (item: 11059) -> 2022-07-30 13:13:26 (item: 6812.0)
399,2022-09-05 06:30:32 (item: 19515) -> 2022-09-05 06:30:47 (item: 3637.0)
654,2022-09-10 04:58:46 (item: 17778) -> 2022-09-10 04:59:13 (item: 11819.0)
678,2022-08-02 12:24:39 (item: 18361) -> 2022-08-02 12:25:04 (item: 13447.0)
681,2022-09-02 02:45:26 (item: 5707) -> 2022-09-02 02:45:54 (item: 4593.0)
698,2022-09-12 08:20:11 (item: 13324) -> 2022-09-12 08:20:22 (item: 17210.0)
1261,2022-06-29 11:17:04 (item: 11097) -> 2022-06-29 11:17:25 (item: 873.0)
1736,2022-08-10 14:35:57 (item: 5756) -> 2022-08-10 14:36:17 (item: 17466.0)
1779,2022-06-08 12:00:19 (item: 17668) -> 2022-06-08 12:00:38 (item: 18216.0)
1855,2022-07-06 15:24:52 (item: 12653) -> 2022-07-06 15:25:21 (item: 17415.0)
1965,2022-08-08 15:32:04 (item: 7477) -> 2022-08-08 15:32:16 (item: 5025.0)
1965,2022-08-08 15:32:16 (item: 5025) -> 2022-08-08 15:32:41 (item: 2535.0)
1965,2022-08-08 15:33:33 (item: 3385) -> 2022-08-08 15:33:45 (item: 18867.0)
2123,2022-08-24 06:43:42 (item: 10275) -> 2022-08-24 06:43:53 (item: 15851.0)
2431,2022-05-05 00:15:39 (item: 9648) -> 2022-05-05 00:15:58 (item: 10576.0)
2431,2022-06-16 00:47:28 (item: 6810) -> 2022-06-16 00:47:50 (item: 3325.0)
2439,2022-08-20 13:40:12 (item: 11825) -> 2022-08-20 13:40:27 (item: 1921.0)
2476,2022-08-26 08:20:29 (item: 11584) -> 2022-08-26 08:20:58 (item: 16077.0)
2492,2022-08-25 08:18:16 (item: 2451) -> 2022-08-25 08:18:38 (item: 19572.0)
2710,2022-08-10 03:22:25 (item: 8603) -> 2022-08-10 03:22:48 (item: 4043.0)
2710,2022-08-10 03:22:48 (item: 4043) -> 2022-08-10 03:23:05 (item: 11596.0)
2725,2022-08-29 02:54:37 (item: 1846) -> 2022-08-29 02:54:59 (item: 7607.0)
2823,2022-08-28 03:49:14 (item: 15881) -> 2022-08-28 03:49:37 (item: 1846.0)
2828,2022-09-08 09:26:14 (item: 8324) -> 2022-09-08 09:26:24 (item: 2702.0)
2870,2022-08-17 05:09:03 (item: 15816) -> 2022-08-17 05:09:19 (item: 12254.0)
2896,2022-05-22 15:47:54 (item: 3497) -> 2022-05-22 15:48:23 (item: 9906.0)
2921,2022-07-19 14:05:50 (item: 15530) -> 2022-07-19 14:06:02 (item: 15775.0)
3013,2022-07-26 07:52:45 (item: 8281) -> 2022-07-26 07:53:08 (item: 11878.0)
3112,2022-06-06 05:23:34 (item: 7568) -> 2022-06-06 05:23:49 (item: 7200.0)
3204,2022-08-31 00:09:19 (item: 10167) -> 2022-08-31 00:09:40 (item: 680.0)
3291,2022-07-02 03:10:29 (item: 10322) -> 2022-07-02 03:10:41 (item: 8430.0)
3775,2022-08-08 01:42:38 (item: 17959) -> 2022-08-08 01:42:57 (item: 13072.0)
4223,2022-06-18 12:45:19 (item: 3266) -> 2022-06-18 12:45:30 (item: 1653.0)
4614,2022-08-30 09:20:09 (item: 15826) -> 2022-08-30 09:20:37 (item: 2188.0)
4857,2022-09-05 04:05:47 (item: 4138) -> 2022-09-05 04:06:02 (item: 7962.0)
5174,2022-09-01 15:13:47 (item: 185) -> 2022-09-01 15:14:14 (item: 7191.0)
