user,item,timestamp,datetime,gap_sec
4,10743,1654408947388,2022-06-05 06:02:27.388,1007.717
6,269,1657343303659,2022-07-09 05:08:23.659,42.745
7,6672,1661068568924,2022-08-21 07:56:08.924,1534.326
10,12254,1661307476071,2022-08-24 02:17:56.071,1051.156
11,9358,1660555860032,2022-08-15 09:31:00.032,3030.471
14,7378,1660209499281,2022-08-11 09:18:19.281,365.639
15,15232,1659952001049,2022-08-08 09:46:41.049,2346.116
16,1728,1662894640146,2022-09-11 11:10:40.146,170.105
20,14536,1661075765940,2022-08-21 09:56:05.940,190.006
21,1000,1659924242783,2022-08-08 02:04:02.783,3469.75
22,17450,1662775674477,2022-09-10 02:07:54.477,1111.345
23,10138,1660903329687,2022-08-19 10:02:09.687,3351.841
23,6331,1660906388565,2022-08-19 10:53:08.565,3058.878
26,339,1661656479929,2022-08-28 03:14:39.929,1327.372
26,5848,1661854451291,2022-08-30 10:14:11.291,181.238
27,3493,1659321570195,2022-08-01 02:39:30.195,1007.641
27,5898,1661851108288,2022-08-30 09:18:28.288,2064.54
35,12715,1660362018969,2022-08-13 03:40:18.969,2222.269
37,12693,1652697290562,2022-05-16 10:34:50.562,100.181
40,18573,1660789767204,2022-08-18 02:29:27.204,86.028
41,17288,1662555070825,2022-09-07 12:51:10.825,126.902
61,14199,1662555858758,2022-09-07 13:04:18.758,3.924
62,13948,1657044996352,2022-07-05 18:16:36.352,16.355
64,9427,1657724578373,2022-07-13 15:02:58.373,1377.699
64,14123,1662454114450,2022-09-06 08:48:34.450,2570.728
73,10194,1662471409714,2022-09-06 13:36:49.714,164.531
78,720,1658306949634,2022-07-20 08:49:09.634,1086.025
78,11810,1658394360818,2022-07-21 09:06:00.818,701.783
78,12754,1658395712255,2022-07-21 09:28:32.255,1351.437
90,13770,1662548264293,2022-09-07 10:57:44.293,117.711
92,14491,1656139498367,2022-06-25 06:44:58.367,2703.402
98,4765,1648902378193,2022-04-02 12:26:18.193,2075.642
101,8400,1660835099065,2022-08-18 15:04:59.065,131.651
101,7287,1660835144389,2022-08-18 15:05:44.389,45.324
107,8089,1659145053745,2022-07-30 01:37:33.745,667.681
108,15767,1656657607239,2022-07-01 06:40:07.239,2109.667
113,3533,1656850279415,2022-07-03 12:11:19.415,1312.949
125,9420,1657373289382,2022-07-09 13:28:09.382,248.447
125,19116,1661013748475,2022-08-20 16:42:28.475,3556.157
132,2004,1662712155039,2022-09-09 08:29:15.039,3385.387
134,16467,1647190336641,2022-03-13 16:52:16.641,3189.355
137,10709,1662107279267,2022-09-02 08:27:59.267,177.745
139,17875,1658066123643,2022-07-17 13:55:23.643,920.576
139,16119,1659165483860,2022-07-30 07:18:03.860,1362.205
139,12457,1660639543701,2022-08-16 08:45:43.701,912.222
155,11861,1662379764434,2022-09-05 12:09:24.434,518.798
156,18263,1662875164533,2022-09-11 05:46:04.533,310.565
167,16981,1660176153505,2022-08-11 00:02:33.505,22.026
170,13516,1661878223003,2022-08-30 16:50:23.003,400.898
171,19629,1657005133278,2022-07-05 07:12:13.278,972.102
172,17154,1658304680656,2022-07-20 08:11:20.656,680.264
178,9433,1659423202660,2022-08-02 06:53:22.660,2162.555
188,2757,1659275662923,2022-07-31 13:54:22.923,84.276
188,4440,1659276036977,2022-07-31 14:00:36.977,374.054
188,206,1659276672508,2022-07-31 14:11:12.508,635.531
189,17288,1662505808039,2022-09-06 23:10:08.039,1153.601
192,11660,1658761103596,2022-07-25 14:58:23.596,431.198
196,10748,1658132993550,2022-07-18 08:29:53.550,995.408
202,15712,1662779002359,2022-09-10 03:03:22.359,1927.76
203,5867,1658808115451,2022-07-26 04:01:55.451,2172.602
203,14799,1660937256174,2022-08-19 19:27:36.174,2127.196
203,10233,1660938186876,2022-08-19 19:43:06.876,930.702
203,9512,1660938635996,2022-08-19 19:50:35.996,449.12
203,6572,1661109568652,2022-08-21 19:19:28.652,1742.829
203,18811,1661270231978,2022-08-23 15:57:11.978,3294.418
203,13430,1662364257513,2022-09-05 07:50:57.513,1895.915
208,2100,1658683220330,2022-07-24 17:20:20.330,1845.02
210,19737,1652959781696,2022-05-19 11:29:41.696,2753.491
211,13344,1656491047437,2022-06-29 08:24:07.437,41.103
215,16252,1661184144933,2022-08-22 16:02:24.933,1395.589
216,11200,1662122767746,2022-09-02 12:46:07.746,152.262
219,6812,1659186806818,2022-07-30 13:13:26.818,28.427
219,12967,1659186841281,2022-07-30 13:14:01.281,34.463
